﻿時間,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2025-04-09 00:23:27,童書/青少年文學(16),心理勵志(7),人文社科(6),商業理財(5),文學小說(5),宗教命理(3),語言學習(2),生活風格(1),專業/教科書/政府出版品(1),自然科普(1),親子教養(1),醫療保健(1),電腦資訊(1),,,,,,,
2025-04-09 01:17:58,心理勵志(14),文學小說(6),宗教命理(6),商業理財(6),童書/青少年文學(6),考試用書(5),醫療保健(3),生活風格(1),親子教養(1),語言學習(1),國中小參考書(1),,,,,,,,,
2025-04-09 02:24:09,心理勵志(16),商業理財(9),文學小說(6),宗教命理(5),童書/青少年文學(5),語言學習(3),親子教養(2),醫療保健(2),生活風格(1),考試用書(1),,,,,,,,,,
2025-04-09 03:17:13,心理勵志(14),商業理財(10),文學小說(7),宗教命理(5),語言學習(3),童書/青少年文學(3),人文社科(2),親子教養(2),醫療保健(2),生活風格(1),考試用書(1),,,,,,,,,
2025-04-09 04:21:06,心理勵志(12),商業理財(9),宗教命理(7),文學小說(6),生活風格(3),語言學習(3),人文社科(2),醫療保健(2),親子教養(2),童書/青少年文學(2),考試用書(1),專業/教科書/政府出版品(1),,,,,,,,
2025-04-09 05:18:31,心理勵志(9),文學小說(8),商業理財(8),宗教命理(7),生活風格(4),語言學習(4),人文社科(3),親子教養(2),醫療保健(1),童書/青少年文學(1),考試用書(1),專業/教科書/政府出版品(1),藝術設計(1),,,,,,,
2025-04-09 06:18:32,心理勵志(10),商業理財(8),宗教命理(7),文學小說(7),生活風格(4),人文社科(3),語言學習(3),醫療保健(2),親子教養(2),童書/青少年文學(2),考試用書(1),專業/教科書/政府出版品(1),,,,,,,,
2025-04-09 07:18:33,心理勵志(10),商業理財(8),宗教命理(7),文學小說(7),生活風格(4),童書/青少年文學(3),人文社科(3),醫療保健(2),親子教養(2),語言學習(2),考試用書(1),專業/教科書/政府出版品(1),,,,,,,,
2025-04-09 09:14:26,心理勵志(12),商業理財(7),文學小說(6),童書/青少年文學(6),宗教命理(5),醫療保健(4),人文社科(3),生活風格(2),親子教養(2),語言學習(2),考試用書(1),,,,,,,,,
2025-04-09 11:03:37,心理勵志(12),商業理財(8),宗教命理(6),童書/青少年文學(6),文學小說(5),醫療保健(4),人文社科(4),生活風格(3),親子教養(2),,,,,,,,,,,
2025-04-09 11:39:33,心理勵志(12),商業理財(7),童書/青少年文學(7),語言學習(5),文學小說(4),宗教命理(4),人文社科(4),生活風格(2),親子教養(2),醫療保健(1),考試用書(1),專業/教科書/政府出版品(1),,,,,,,,
2025-04-09 12:22:33,心理勵志(11),商業理財(9),童書/青少年文學(6),生活風格(5),語言學習(4),文學小說(4),宗教命理(3),親子教養(2),人文社科(2),飲食(1),醫療保健(1),考試用書(1),專業/教科書/政府出版品(1),,,,,,,
2025-04-09 13:19:21,商業理財(9),心理勵志(9),童書/青少年文學(7),生活風格(5),語言學習(5),文學小說(4),宗教命理(3),人文社科(3),親子教養(2),飲食(1),醫療保健(1),考試用書(1),,,,,,,,
2025-04-09 14:26:23,商業理財(10),心理勵志(9),生活風格(6),童書/青少年文學(5),語言學習(5),文學小說(4),宗教命理(3),人文社科(3),醫療保健(2),親子教養(2),飲食(1),,,,,,,,,
2025-04-09 15:19:30,商業理財(10),心理勵志(10),生活風格(7),童書/青少年文學(5),語言學習(5),文學小說(4),宗教命理(3),醫療保健(2),人文社科(2),親子教養(1),飲食(1),,,,,,,,,
2025-04-09 16:26:14,商業理財(10),心理勵志(10),生活風格(7),童書/青少年文學(5),語言學習(5),文學小說(4),宗教命理(3),人文社科(3),醫療保健(1),親子教養(1),飲食(1),,,,,,,,,
2025-04-09 17:20:57,商業理財(12),心理勵志(9),生活風格(7),童書/青少年文學(4),文學小說(4),宗教命理(3),語言學習(3),人文社科(3),醫療保健(2),親子教養(1),電腦資訊(1),飲食(1),,,,,,,,
2025-04-09 18:22:54,商業理財(12),心理勵志(9),生活風格(7),人文社科(4),童書/青少年文學(4),文學小說(4),宗教命理(3),語言學習(3),親子教養(2),醫療保健(1),電腦資訊(1),,,,,,,,,
2025-04-09 19:17:33,商業理財(12),心理勵志(9),生活風格(7),文學小說(4),童書/青少年文學(4),宗教命理(4),人文社科(4),語言學習(3),親子教養(2),醫療保健(1),,,,,,,,,,
2025-04-09 20:34:30,商業理財(11),心理勵志(9),生活風格(7),人文社科(5),宗教命理(4),童書/青少年文學(4),文學小說(4),語言學習(3),親子教養(2),醫療保健(1),,,,,,,,,,
2025-04-09 21:30:35,心理勵志(10),商業理財(9),生活風格(7),人文社科(5),宗教命理(4),童書/青少年文學(4),文學小說(4),語言學習(3),親子教養(2),醫療保健(1),電腦資訊(1),,,,,,,,,
2025-04-09 22:20:09,商業理財(11),心理勵志(8),生活風格(6),人文社科(5),童書/青少年文學(5),宗教命理(4),文學小說(4),語言學習(3),醫療保健(2),親子教養(2),,,,,,,,,,
2025-04-09 23:22:40,商業理財(9),心理勵志(8),宗教命理(6),生活風格(5),人文社科(5),文學小說(4),語言學習(4),童書/青少年文學(4),親子教養(3),醫療保健(2),,,,,,,,,,
2025-04-10 00:23:53,童書/青少年文學(10),宗教命理(7),商業理財(7),生活風格(5),心理勵志(4),文學小說(4),醫療保健(4),語言學習(3),親子教養(2),人文社科(2),自然科普(1),電腦資訊(1),,,,,,,,
2025-04-10 01:17:41,人文社科(11),文學小說(10),心理勵志(8),商業理財(8),童書/青少年文學(3),飲食(3),親子教養(2),生活風格(1),國中小參考書(1),語言學習(1),藝術設計(1),考試用書(1),,,,,,,,
2025-04-10 02:25:11,心理勵志(11),商業理財(9),童書/青少年文學(5),文學小說(5),人文社科(5),醫療保健(2),生活風格(2),飲食(2),語言學習(2),親子教養(2),電腦資訊(1),宗教命理(1),考試用書(1),國中小參考書(1),藝術設計(1),,,,,
2025-04-10 03:17:11,心理勵志(11),商業理財(10),文學小說(4),人文社科(4),童書/青少年文學(4),飲食(2),語言學習(2),醫療保健(2),生活風格(2),宗教命理(2),旅遊(1),親子教養(1),電腦資訊(1),考試用書(1),國中小參考書(1),藝術設計(1),專業/教科書/政府出版品(1),,,
2025-04-10 04:20:37,心理勵志(12),商業理財(10),語言學習(4),文學小說(4),人文社科(3),宗教命理(3),生活風格(2),考試用書(2),醫療保健(2),飲食(2),童書/青少年文學(2),旅遊(1),親子教養(1),電腦資訊(1),國中小參考書(1),,,,,
2025-04-10 05:16:52,心理勵志(13),商業理財(10),宗教命理(4),語言學習(3),文學小說(3),生活風格(3),飲食(2),醫療保健(2),考試用書(2),童書/青少年文學(2),旅遊(1),親子教養(1),人文社科(1),電腦資訊(1),專業/教科書/政府出版品(1),國中小參考書(1),,,,
2025-04-10 06:18:10,心理勵志(13),商業理財(10),語言學習(4),宗教命理(4),文學小說(3),生活風格(2),飲食(2),醫療保健(2),考試用書(2),童書/青少年文學(2),旅遊(1),親子教養(1),人文社科(1),電腦資訊(1),專業/教科書/政府出版品(1),國中小參考書(1),,,,
2025-04-10 07:18:12,商業理財(12),心理勵志(11),文學小說(6),語言學習(4),童書/青少年文學(3),電腦資訊(3),宗教命理(2),飲食(2),醫療保健(2),生活風格(1),旅遊(1),親子教養(1),人文社科(1),考試用書(1),,,,,,
